% Model,COMSOL_Single_Pipe.mph
% Version,COMSOL 6.3.0.420
% Date,"Feb 16 2026, 14:05"
% Table,Table_c_Pipe_1 - c_Pipe_1
% Time (s),c_Pipe_1 (mol/m^3)
2.16,0.999999016843095
2.17,0.9999985256630883
2.18,0.9999982368967496
2.19,0.9999981505440773
2.2,0.9999981442986072
2.21,0.9999981773131412
2.22,0.9999983134392145
2.23,0.9999985487104076
2.24,0.9999987121192945
2.25,0.9999989011952524
2.2600000000000002,0.9999991159382805
2.27,0.9999993207968062
2.2800000000000002,0.9999994824945946
2.29,0.9999996318544155
2.3000000000000003,0.9999997688762701
2.31,0.9999998744488893
2.32,0.9999999565317943
2.33,1.000000016767124
2.34,1.0000000593248255
2.35,1.0000000925168724
2.36,1.0000001102212428
2.37,1.0000001124379323
2.38,1.0000001135409662
2.39,1.0000001110070034
2.4,1.0000001015719113
2.41,1.0000000873698278
2.42,1.000000077677959
2.43,1.0000000665247835
2.44,1.0000000539102996
2.45,1.0000000429255158
2.46,1.0000000340641215
2.47,1.0000000260229644
2.48,1.0000000188512304
2.49,1.000000013249498
2.5,1.0000000088062744
2.5100000000000002,1.0000000055215623
2.52,1.0000000029661056
2.5300000000000002,1.0000000008568255
2.54,0.9999999994980215
2.5500000000000003,0.9999999988896904
2.56,0.9999999981209842
2.57,0.9999999976427604
2.58,0.9999999974910833
2.59,0.999999997497982
2.6,0.9999999974137388
2.61,0.9999999974366582
2.62,0.9999999975667392
2.63,0.9999999976585444
2.64,0.9999999977529124
2.65,0.9999999978739277
2.66,0.999999998009134
2.67,0.9999999981195845
2.68,0.9999999982315553
2.69,0.9999999983450456
2.7,0.9999999984479535
2.71,0.9999999985401431
2.72,0.999999998625678
2.73,0.9999999987044552
2.74,0.9999999987756555
2.75,0.9999999988397784
2.7600000000000002,0.9999999988968205
2.77,0.9999999989501224
2.7800000000000002,0.9999999990011277
2.79,0.9999999990479035
2.8000000000000003,0.9999999990904632
2.81,0.9999999991345548
2.82,0.9999999991769449
2.83,0.9999999992176326
2.84,0.9999999992575138
2.85,0.9999999992975717
2.86,0.9999999993369465
2.87,0.9999999993756387
2.88,0.9999999994136309
2.89,0.9999999994509304
2.9,0.9999999994875375
2.91,0.9999999995232455
2.92,0.9999999995575752
2.93,0.9999999995908664
2.94,0.999999999623121
2.95,0.9999999996538267
2.96,0.9999999996830422
2.97,0.9999999997109038
2.98,0.999999999737351
2.99,0.9999999997620904
3,0.9999999997853067
3.0100000000000002,0.9999999998070007
3.02,0.9999999998271846
3.0300000000000002,0.9999999998458601
3.04,0.9999999998630215
3.0500000000000003,0.9999999998786863
3.06,0.9999999998931818
3.0700000000000003,0.9999999999063186
3.08,0.9999999999180966
3.09,0.9999999999287542
3.1,0.9999999999384792
3.11,0.999999999947086
3.12,0.9999999999545733
3.13,0.9999999999614873
3.14,0.9999999999675793
3.15,0.9999999999728127
3.16,0.9999999999773614
3.17,0.9999999999815179
3.18,0.9999999999850574
3.19,0.9999999999879821
3.2,0.999999999990632
3.21,0.99999999999293
3.22,0.9999999999948097
3.23,0.9999999999963348
3.24,0.9999999999977486
3.25,0.9999999999988922
3.2600000000000002,0.9999999999997631
3.27,1.0000000000005134
3.2800000000000002,1.0000000000011533
3.29,1.0000000000016265
3.3000000000000003,1.000000000001948
3.31,1.0000000000022553
3.3200000000000003,1.0000000000024658
3.33,1.0000000000025813
3.34,1.0000000000026485
3.35,1.0000000000026938
3.36,1.0000000000026874
3.37,1.0000000000026283
3.38,1.0000000000025757
3.39,1.0000000000024973
3.4,1.0000000000023948
3.41,1.0000000000022775
3.42,1.0000000000021645
3.43,1.00000000000204
3.44,1.0000000000019063
3.45,1.0000000000017795
3.46,1.0000000000016522
3.47,1.0000000000015232
3.48,1.0000000000013967
3.49,1.0000000000012765
3.5,1.0000000000011613
3.5100000000000002,1.000000000001049
3.52,1.0000000000009437
3.5300000000000002,1.0000000000008453
3.54,1.0000000000007507
3.5500000000000003,1.000000000000662
3.56,1.0000000000005818
3.5700000000000003,1.0000000000005065
3.58,1.0000000000004388
3.59,1.0000000000003764
3.6,1.0000000000003186
3.61,1.0000000000002671
3.62,1.0000000000002214
3.63,1.0000000000001796
3.64,1.0000000000001432
3.65,1.0000000000001117
3.66,1.000000000000084
3.67,1.000000000000059
3.68,1.000000000000037
3.69,1.0000000000000218
3.7,1.0000000000000062
3.71,0.999999999999994
3.72,0.9999999999999838
3.73,0.9999999999999764
3.74,0.9999999999999697
3.75,0.9999999999999655
3.7600000000000002,0.999999999999963
3.77,0.9999999999999606
3.7800000000000002,0.9999999999999591
3.79,0.9999999999999588
3.8000000000000003,0.9999999999999595
3.81,0.9999999999999604
3.8200000000000003,0.9999999999999616
3.83,0.9999999999999636
3.84,0.9999999999999657
3.85,0.9999999999999686
3.86,0.9999999999999716
3.87,0.9999999999999744
3.88,0.9999999999999765
3.89,0.9999999999999792
3.9,0.9999999999999812
3.91,0.9999999999999835
3.92,0.9999999999999858
3.93,0.9999999999999876
3.94,0.9999999999999897
3.95,0.9999999999999915
3.96,0.999999999999993
3.97,0.9999999999999949
3.98,0.9999999999999958
3.99,0.9999999999999968
4,0.9999999999999977
4.01,0.9999999999999988
4.0200000000000005,0.9999999999999989
4.03,0.9999999999999991
4.04,0.9999999999999996
4.05,0.9999999999999996
4.0600000000000005,1.0000000000000002
4.07,1.0000000000000002
4.08,1.0000000000000004
4.09,1.0000000000000004
4.1,1.0000000000000004
4.11,1.0000000000000007
4.12,1.0000000000000007
4.13,1.0000000000000004
4.14,1.0000000000000007
4.15,1.0000000000000007
4.16,1.0000000000000004
4.17,1.0000000000000007
4.18,1.0000000000000007
4.19,1.0000000000000007
4.2,1.0000000000000007
4.21,1.0000000000000007
4.22,1.0000000000000007
4.23,1.0000000000000007
4.24,1.0000000000000007
4.25,1.0000000000000007
4.26,1.0000000000000007
4.2700000000000005,1.0000000000000007
4.28,1.0000000000000007
4.29,1.0000000000000007
4.3,1.0000000000000007
4.3100000000000005,1.0000000000000007
4.32,1.0000000000000007
4.33,1.0000000000000004
4.34,1.0000000000000004
4.3500000000000005,1.0000000000000004
4.36,1.0000000000000004
4.37,1.0000000000000004
4.38,1.0000000000000004
4.39,1.0000000000000004
4.4,1.0000000000000004
4.41,1.0000000000000004
4.42,1.0000000000000004
4.43,1.0000000000000004
4.44,1.0000000000000004
4.45,1.0000000000000004
4.46,1.0000000000000002
4.47,1.0000000000000002
4.48,1.0000000000000002
4.49,1.0000000000000002
4.5,1.0000000000000002
4.51,1.0000000000000002
4.5200000000000005,1.0000000000000002
4.53,1.0000000000000002
4.54,1.0000000000000002
4.55,1.0000000000000002
4.5600000000000005,1.0000000000000002
4.57,1.0000000000000002
4.58,1.0000000000000002
4.59,1.0000000000000002
4.6000000000000005,0.9999999999999999
4.61,0.9999999999999999
4.62,0.9999999999999999
4.63,0.9999999999999999
4.64,0.9999999999999999
4.65,0.9999999999999999
4.66,0.9999999999999999
4.67,0.9999999999999999
4.68,0.9999999999999999
4.69,0.9999999999999999
4.7,0.9999999999999999
4.71,0.9999999999999999
4.72,0.9999999999999999
4.73,0.9999999999999999
4.74,0.9999999999999999
4.75,0.9999999999999999
4.76,0.9999999999999999
4.7700000000000005,0.9999999999999999
4.78,0.9999999999999999
4.79,0.9999999999999999
4.8,0.9999999999999999
4.8100000000000005,0.9999999999999999
4.82,0.9999999999999999
4.83,0.9999999999999999
4.84,0.9999999999999999
4.8500000000000005,0.9999999999999999
4.86,0.9999999999999999
4.87,0.9999999999999999
4.88,0.9999999999999999
4.89,0.9999999999999999
4.9,0.9999999999999999
4.91,0.9999999999999999
4.92,0.9999999999999999
4.93,0.9999999999999999
4.94,0.9999999999999999
4.95,0.9999999999999999
4.96,0.9999999999999999
4.97,0.9999999999999999
4.98,0.9999999999999999
4.99,0.9999999999999999
5,0.9999999999999999
5.01,0.9999999999999999
5.0200000000000005,0.9999999999999999
5.03,0.9999999999999999
5.04,0.9999999999999999
5.05,0.9999999999999999
5.0600000000000005,0.9999999999999999
5.07,0.9999999999999999
5.08,0.9999999999999999
5.09,0.9999999999999999
5.1000000000000005,0.9999999999999999
5.11,0.9999999999999999
5.12,0.9999999999999999
5.13,0.9999999999999999
5.14,0.9999999999999999
5.15,0.9999999999999999
5.16,0.9999999999999999
5.17,0.9999999999999999
5.18,0.9999999999999999
5.19,0.9999999999999999
5.2,0.9999999999999999
5.21,0.9999999999999999
5.22,0.9999999999999999
5.23,0.9999999999999999
5.24,0.9999999999999999
5.25,0.9999999999999999
5.26,0.9999999999999999
5.2700000000000005,0.9999999999999999
5.28,0.9999999999999999
5.29,0.9999999999999999
5.3,0.9999999999999999
5.3100000000000005,0.9999999999999999
5.32,0.9999999999999999
5.33,0.9999999999999999
5.34,0.9999999999999999
5.3500000000000005,0.9999999999999999
5.36,0.9999999999999999
5.37,0.9999999999999999
5.38,0.9999999999999999
5.39,0.9999999999999999
5.4,0.9999999999999999
5.41,0.9999999999999999
5.42,0.9999999999999999
5.43,0.9999999999999999
5.44,0.9999999999999999
5.45,0.9999999999999999
5.46,0.9999999999999999
5.47,0.9999999999999999
5.48,0.9999999999999999
5.49,0.9999999999999999
5.5,0.9999999999999999
5.51,0.9999999999999999
5.5200000000000005,0.9999999999999999
5.53,0.9999999999999997
5.54,0.9999999999999997
5.55,0.9999999999999997
5.5600000000000005,0.9999999999999997
5.57,0.9999999999999997
5.58,0.9999999999999997
5.59,0.9999999999999997
5.6000000000000005,0.9999999999999997
5.61,0.9999999999999997
5.62,0.9999999999999997
5.63,0.9999999999999997
5.64,0.9999999999999997
5.65,0.9999999999999997
5.66,0.9999999999999997
5.67,0.9999999999999997
5.68,0.9999999999999997
5.69,0.9999999999999997
5.7,0.9999999999999997
5.71,0.9999999999999997
5.72,0.9999999999999997
5.73,0.9999999999999997
5.74,0.9999999999999997
5.75,0.9999999999999997
5.76,0.9999999999999997
5.7700000000000005,0.9999999999999997
5.78,0.9999999999999999
5.79,0.9999999999999999
5.8,0.9999999999999999
5.8100000000000005,0.9999999999999999
5.82,0.9999999999999999
5.83,0.9999999999999999
5.84,0.9999999999999999
5.8500000000000005,0.9999999999999999
5.86,0.9999999999999999
5.87,0.9999999999999999
5.88,0.9999999999999999
5.89,0.9999999999999999
5.9,0.9999999999999999
5.91,0.9999999999999999
5.92,0.9999999999999999
5.93,0.9999999999999999
5.94,0.9999999999999999
5.95,0.9999999999999999
5.96,0.9999999999999999
5.97,0.9999999999999999
5.98,0.9999999999999999
5.99,0.9999999999999999
6,0.9999999999999999
6.01,0.9999999999999999
6.0200000000000005,0.9999999999999999
6.03,0.9999999999999999
6.04,0.9999999999999999
6.05,0.9999999999999999
6.0600000000000005,0.9999999999999999
6.07,0.9999999999999999
6.08,0.9999999999999999
6.09,0.9999999999999999
6.1000000000000005,0.9999999999999999
6.11,0.9999999999999999
6.12,0.9999999999999999
6.13,0.9999999999999999
6.140000000000001,0.9999999999999999
6.15,0.9999999999999999
6.16,0.9999999999999999
6.17,0.9999999999999999
6.18,0.9999999999999999
6.19,0.9999999999999999
6.2,0.9999999999999999
6.21,0.9999999999999999
6.22,0.9999999999999999
6.23,0.9999999999999999
6.24,0.9999999999999999
6.25,0.9999999999999999
6.26,0.9999999999999999
6.2700000000000005,0.9999999999999999
6.28,0.9999999999999999
6.29,0.9999999999999999
6.3,0.9999999999999999
6.3100000000000005,0.9999999999999999
6.32,0.9999999999999999
6.33,0.9999999999999999
6.34,0.9999999999999999
6.3500000000000005,0.9999999999999999
6.36,0.9999999999999999
6.37,0.9999999999999999
6.38,0.9999999999999999
6.390000000000001,0.9999999999999999
6.4,0.9999999999999999
6.41,0.9999999999999999
6.42,0.9999999999999999
6.43,0.9999999999999999
6.44,0.9999999999999999
6.45,0.9999999999999999
6.46,0.9999999999999999
6.47,0.9999999999999999
6.48,0.9999999999999999
6.49,0.9999999999999999
6.5,0.9999999999999999
6.51,0.9999999999999999
6.5200000000000005,0.9999999999999999
6.53,0.9999999999999999
6.54,0.9999999999999999
6.55,0.9999999999999999
6.5600000000000005,0.9999999999999999
6.57,0.9999999999999999
6.58,0.9999999999999999
6.59,0.9999999999999999
6.6000000000000005,0.9999999999999999
6.61,0.9999999999999999
6.62,0.9999999999999999
6.63,0.9999999999999999
6.640000000000001,0.9999999999999999
6.65,0.9999999999999999
6.66,0.9999999999999999
6.67,0.9999999999999999
6.68,0.9999999999999999
6.69,0.9999999999999999
6.7,0.9999999999999999
6.71,0.9999999999999999
6.72,0.9999999999999999
6.73,0.9999999999999999
6.74,0.9999999999999999
6.75,0.9999999999999999
6.76,0.9999999999999999
6.7700000000000005,0.9999999999999999
6.78,0.9999999999999999
6.79,0.9999999999999999
6.8,0.9999999999999999
6.8100000000000005,0.9999999999999999
6.82,0.9999999999999999
6.83,0.9999999999999999
6.84,0.9999999999999999
6.8500000000000005,0.9999999999999999
6.86,0.9999999999999999
6.87,0.9999999999999999
6.88,0.9999999999999999
6.890000000000001,0.9999999999999999
6.9,0.9999999999999999
6.91,0.9999999999999999
6.92,0.9999999999999999
6.93,0.9999999999999999
6.94,0.9999999999999999
6.95,0.9999999999999999
6.96,0.9999999999999999
6.97,0.9999999999999999
6.98,0.9999999999999999
6.99,0.9999999999999999
7,0.9999999999999999
7.01,0.9999999999999999
7.0200000000000005,0.9999999999999999
7.03,0.9999999999999999
7.04,0.9999999999999999
7.05,0.9999999999999999
7.0600000000000005,0.9999999999999999
7.07,0.9999999999999999
7.08,0.9999999999999999
7.09,0.9999999999999999
7.1000000000000005,0.9999999999999999
7.11,0.9999999999999999
7.12,0.9999999999999999
7.13,0.9999999999999999
7.140000000000001,0.9999999999999999
7.15,0.9999999999999999
7.16,0.9999999999999999
7.17,0.9999999999999999
7.18,0.9999999999999999
7.19,0.9999999999999999
7.2,0.9999999999999999
7.21,0.9999999999999999
7.22,0.9999999999999999
7.23,0.9999999999999999
7.24,0.9999999999999999
7.25,0.9999999999999999
7.26,0.9999999999999999
7.2700000000000005,0.9999999999999999
7.28,0.9999999999999999
7.29,0.9999999999999999
7.3,0.9999999999999999
7.3100000000000005,0.9999999999999999
7.32,0.9999999999999999
7.33,0.9999999999999999
7.34,0.9999999999999999
7.3500000000000005,0.9999999999999999
7.36,0.9999999999999999
7.37,0.9999999999999999
7.38,0.9999999999999999
7.390000000000001,0.9999999999999999
7.4,0.9999999999999999
7.41,0.9999999999999999
7.42,0.9999999999999999
7.43,0.9999999999999999
7.44,0.9999999999999999
7.45,0.9999999999999999
7.46,0.9999999999999999
7.47,0.9999999999999999
7.48,0.9999999999999999
7.49,0.9999999999999999
7.5,0.9999999999999999
7.51,0.9999999999999999
7.5200000000000005,0.9999999999999999
7.53,0.9999999999999999
7.54,0.9999999999999999
7.55,0.9999999999999999
7.5600000000000005,0.9999999999999999
7.57,0.9999999999999999
7.58,0.9999999999999999
7.59,0.9999999999999999
7.6000000000000005,0.9999999999999999
7.61,0.9999999999999999
7.62,0.9999999999999999
7.63,0.9999999999999999
7.640000000000001,0.9999999999999999
7.65,0.9999999999999999
7.66,0.9999999999999999
7.67,0.9999999999999999
7.68,0.9999999999999999
7.69,0.9999999999999999
7.7,0.9999999999999999
7.71,0.9999999999999999
7.72,0.9999999999999999
7.73,0.9999999999999999
7.74,0.9999999999999999
7.75,0.9999999999999999
7.76,0.9999999999999999
7.7700000000000005,0.9999999999999999
7.78,0.9999999999999999
7.79,0.9999999999999999
7.8,0.9999999999999999
7.8100000000000005,0.9999999999999999
7.82,0.9999999999999999
7.83,0.9999999999999999
7.84,0.9999999999999999
7.8500000000000005,0.9999999999999999
7.86,0.9999999999999999
7.87,0.9999999999999999
7.88,0.9999999999999999
7.890000000000001,0.9999999999999999
7.9,0.9999999999999999
7.91,0.9999999999999999
7.92,0.9999999999999999
7.930000000000001,0.9999999999999999
7.94,0.9999999999999999
7.95,0.9999999999999999
7.96,0.9999999999999999
7.97,0.9999999999999999
7.98,0.9999999999999999
7.99,0.9999999999999999
8,0.9999999999999999
8.01,0.9999999999999999
8.02,0.9999999999999999
8.03,0.9999999999999999
8.040000000000001,0.9999999999999999
8.05,0.9999999999999999
8.06,0.9999999999999999
8.07,0.9999999999999999
8.08,0.9999999999999999
8.09,0.9999999999999999
8.1,0.9999999999999999
8.11,0.9999999999999999
8.120000000000001,0.9999999999999999
8.13,0.9999999999999999
8.14,0.9999999999999999
8.15,0.9999999999999999
8.16,0.9999999999999999
8.17,0.9999999999999999
8.18,0.9999999999999999
8.19,0.9999999999999999
8.2,0.9999999999999999
8.21,0.9999999999999999
8.22,0.9999999999999999
8.23,0.9999999999999999
8.24,0.9999999999999999
8.25,0.9999999999999999
8.26,0.9999999999999999
8.27,0.9999999999999999
8.28,0.9999999999999999
8.290000000000001,0.9999999999999999
8.3,0.9999999999999999
8.31,0.9999999999999999
8.32,0.9999999999999999
8.33,0.9999999999999999
8.34,0.9999999999999999
8.35,0.9999999999999999
8.36,0.9999999999999999
8.370000000000001,0.9999999999999999
8.38,0.9999999999999999
8.39,0.9999999999999999
8.4,0.9999999999999999
8.41,0.9999999999999999
8.42,0.9999999999999999
8.43,0.9999999999999999
8.44,0.9999999999999999
8.45,0.9999999999999999
8.46,0.9999999999999999
8.47,0.9999999999999999
8.48,0.9999999999999999
8.49,0.9999999999999999
8.5,0.9999999999999999
8.51,0.9999999999999999
8.52,0.9999999999999999
8.53,0.9999999999999999
8.540000000000001,0.9999999999999999
8.55,0.9999999999999999
8.56,0.9999999999999999
8.57,0.9999999999999999
8.58,0.9999999999999999
8.59,0.9999999999999999
8.6,0.9999999999999999
8.61,0.9999999999999999
8.620000000000001,0.9999999999999999
8.63,0.9999999999999999
8.64,0.9999999999999999
8.65,0.9999999999999999
8.66,0.9999999999999999
8.67,0.9999999999999999
8.68,0.9999999999999999
8.69,0.9999999999999999
8.700000000000001,0.9999999999999999
8.71,0.9999999999999999
8.72,0.9999999999999999
8.73,0.9999999999999999
8.74,0.9999999999999999
8.75,0.9999999999999999
8.76,0.9999999999999999
8.77,0.9999999999999999
8.78,0.9999999999999999
8.790000000000001,0.9999999999999999
8.8,0.9999999999999999
8.81,0.9999999999999999
8.82,0.9999999999999999
8.83,0.9999999999999999
8.84,0.9999999999999999
8.85,0.9999999999999999
8.86,0.9999999999999999
8.870000000000001,0.9999999999999999
8.88,0.9999999999999999
8.89,0.9999999999999999
8.9,0.9999999999999999
8.91,1
8.92,1
8.93,1
8.94,1
8.950000000000001,1.0000000000000002
8.96,1.0000000000000002
8.97,1.0000000000000002
8.98,1.0000000000000002
8.99,1.0000000000000002
9,1.0000000000000002
9.01,1.0000000000000002
9.02,1.0000000000000002
9.03,1.0000000000000002
9.040000000000001,1.0000000000000002
9.05,1.0000000000000002
9.06,1.0000000000000002
9.07,1.0000000000000002
9.08,1.0000000000000002
9.09,1.0000000000000002
9.1,1.0000000000000002
9.11,1.0000000000000002
9.120000000000001,1.0000000000000002
9.13,1.0000000000000002
9.14,1.0000000000000002
9.15,1.0000000000000002
9.16,1.0000000000000002
9.17,1.0000000000000002
9.18,1.0000000000000002
9.19,1.0000000000000002
9.200000000000001,1.0000000000000002
9.21,1.0000000000000002
9.22,1.0000000000000002
9.23,1.0000000000000002
9.24,1.0000000000000002
9.25,1.0000000000000002
9.26,1.0000000000000002
9.27,1.0000000000000002
9.28,1.0000000000000002
9.290000000000001,1.0000000000000002
9.3,1.0000000000000002
9.31,1.0000000000000002
9.32,1.0000000000000002
9.33,1.0000000000000002
9.34,1.0000000000000002
9.35,1.0000000000000002
9.36,1.0000000000000002
9.370000000000001,1.0000000000000002
9.38,1.0000000000000002
9.39,1.0000000000000002
9.4,1.0000000000000002
9.41,1.0000000000000002
9.42,1.0000000000000002
9.43,1.0000000000000002
9.44,1.0000000000000002
9.450000000000001,1.0000000000000002
9.46,1.0000000000000002
9.47,1.0000000000000002
9.48,1.0000000000000002
9.49,0.9999999999999999
9.5,0.9999999999999999
9.51,0.9999999999999999
9.52,0.9999999999999999
9.53,0.9999999999999999
9.540000000000001,0.9999999999999999
9.55,0.9999999999999999
9.56,0.9999999999999999
9.57,0.9999999999999999
9.58,0.9999999999999999
9.59,0.9999999999999999
9.6,1
9.61,1
9.620000000000001,1
9.63,1
9.64,1
9.65,1
9.66,1
9.67,1
9.68,1
9.69,1
9.700000000000001,1
9.71,1
9.72,1
9.73,1
9.74,1
9.75,1
9.76,1
9.77,1
9.78,1
9.790000000000001,1
9.8,1
9.81,1
9.82,1
9.83,1
9.84,1
9.85,1
9.86,1
9.870000000000001,1
9.88,1
9.89,1
9.9,1
9.91,1
9.92,1
9.93,1
9.94,1
9.950000000000001,1
9.96,1
9.97,1
9.98,1
9.99,1
10,1
